JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU,ReqMem
392620,TQ06S50ds,dgoncalves,cpu1,COMPLETED,48,00:08:03,,42:02.511,1984Mc
392620.batch,batch,,,COMPLETED,48,00:08:03,4.45M,00:00.415,1984Mc
392620.extern,extern,,,COMPLETED,48,00:08:03,0,00:00:00,1984Mc
392620.0,python3,,,COMPLETED,48,00:08:02,17503.27M,42:02.094,1984Mc
392621,TQ06S51ds,dgoncalves,cpu1,COMPLETED,48,00:08:10,,43:40.384,1984Mc
392621.batch,batch,,,COMPLETED,48,00:08:10,4.45M,00:00.441,1984Mc
392621.extern,extern,,,COMPLETED,48,00:08:10,0,00:00:00,1984Mc
392621.0,python3,,,COMPLETED,48,00:08:09,14662.40M,43:39.942,1984Mc
392622,TQ07S40ds,dgoncalves,cpu1,CANCELLED by 383200393,10,00:07:01,,01:03:36,1984Mc
392622.batch,batch,,,CANCELLED,10,00:07:03,4.45M,00:00.477,1984Mc
392622.extern,extern,,,COMPLETED,10,00:07:01,0,00:00.001,1984Mc
392622.0,python3,,,CANCELLED,10,00:07:04,10271.27M,01:03:36,1984Mc
392623,TQ06S40ds,dgoncalves,cpu1,COMPLETED,10,00:16:07,,01:40:10,1984Mc
392623.batch,batch,,,COMPLETED,10,00:16:07,4.45M,00:01.159,1984Mc
392623.extern,extern,,,COMPLETED,10,00:16:07,0,00:00.002,1984Mc
392623.0,python3,,,COMPLETED,10,00:16:05,13836.58M,01:40:09,1984Mc
392626,TQ06S40ds,dgoncalves,cpu1,COMPLETED,48,00:04:44,,26:35.407,1984Mc
392626.batch,batch,,,COMPLETED,48,00:04:44,4.45M,00:00.439,1984Mc
392626.extern,extern,,,COMPLETED,48,00:04:44,0,00:00:00,1984Mc
392626.0,python3,,,COMPLETED,48,00:04:43,14007.12M,26:34.967,1984Mc
392629,TQ06S51ds,dgoncalves,cpu1,COMPLETED,48,00:07:47,,44:02.737,1984Mc
392629.batch,batch,,,COMPLETED,48,00:07:47,4.45M,00:00.431,1984Mc
392629.extern,extern,,,COMPLETED,48,00:07:47,0,00:00:00,1984Mc
392629.0,python3,,,COMPLETED,48,00:07:46,25823.89M,44:02.305,1984Mc
392630,TQ06S51da,dgoncalves,cpu1,CANCELLED by 383200393,48,00:03:57,,37:59.144,1984Mc
392630.batch,batch,,,CANCELLED,48,00:03:59,4.45M,00:00.404,1984Mc
392630.extern,extern,,,COMPLETED,48,00:03:57,0,00:00:00,1984Mc
392630.0,python3,,,CANCELLED,48,00:04:00,10349.42M,37:58.739,1984Mc
392631,TQ06S51da,dgoncalves,cpu1,CANCELLED by 383200393,48,00:00:00,,00:00:00,1984Mc
392632,TQ06S51ds,dgoncalves,cpu1,COMPLETED,48,00:08:10,,43:01.783,1984Mc
392632.batch,batch,,,COMPLETED,48,00:08:10,4.45M,00:00.419,1984Mc
392632.extern,extern,,,COMPLETED,48,00:08:10,0,00:00:00,1984Mc
392632.0,python3,,,COMPLETED,48,00:08:09,12723.81M,43:01.363,1984Mc
394659,Q06S128P01Ds,dgoncalves,cpu1,CANCELLED by 383200393,48,00:00:00,,00:00:00,1984Mc
394660,Q06S128P24.0Ds,dgoncalves,cpu1,CANCELLED by 383200393,48,00:00:00,,00:00:00,1984Mc
394661,Q06S128P12.0Ds,dgoncalves,cpu1,CANCELLED by 383200393,48,00:00:00,,00:00:00,1984Mc
