JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU,ReqMem
415024.extern,extern,,,COMPLETED,80,00:01:10,0,00:00.001,4700Mc
415024.0,python3,,,COMPLETED,80,00:01:09,918.34M,01:03.281,4700Mc
415025,Q06S75P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:18,,01:12.324,4700Mc
415025.batch,batch,,,COMPLETED,80,00:01:18,4.43M,00:00.336,4700Mc
415025.extern,extern,,,COMPLETED,80,00:01:18,0,00:00:00,4700Mc
415025.0,python3,,,COMPLETED,80,00:01:17,938.80M,01:11.987,4700Mc
415026,Q06S80P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:46,,01:13.040,4700Mc
415026.batch,batch,,,COMPLETED,80,00:01:46,4.43M,00:00.371,4700Mc
415026.extern,extern,,,COMPLETED,80,00:01:46,0,00:00.001,4700Mc
415026.0,python3,,,COMPLETED,80,00:01:41,957.50M,01:12.668,4700Mc
415027,Q06S85P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:24,,01:17.028,4700Mc
415027.batch,batch,,,COMPLETED,80,00:01:24,4.43M,00:00.327,4700Mc
415027.extern,extern,,,COMPLETED,80,00:01:24,0,00:00:00,4700Mc
415027.0,python3,,,COMPLETED,80,00:01:22,1034.25M,01:16.700,4700Mc
415028,Q06S90P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:28,,01:21.118,4700Mc
415028.batch,batch,,,COMPLETED,80,00:01:28,4.43M,00:00.337,4700Mc
415028.extern,extern,,,COMPLETED,80,00:01:28,0,00:00.001,4700Mc
415028.0,python3,,,COMPLETED,80,00:01:27,1059.56M,01:20.779,4700Mc
415029,Q06S95P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:41,,01:33.707,4700Mc
415029.batch,batch,,,COMPLETED,80,00:01:41,4.43M,00:00.348,4700Mc
415029.extern,extern,,,COMPLETED,80,00:01:41,0,00:00.001,4700Mc
415029.0,python3,,,COMPLETED,80,00:01:39,1253.77M,01:33.357,4700Mc
415030,Q06S100P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:36,,01:29.848,4700Mc
415030.batch,batch,,,COMPLETED,80,00:01:36,4.43M,00:00.318,4700Mc
415030.extern,extern,,,COMPLETED,80,00:01:36,0,00:00:00,4700Mc
415030.0,python3,,,COMPLETED,80,00:01:35,1533.32M,01:29.528,4700Mc
415031,Q06S105P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:09,,01:36.460,4700Mc
415031.batch,batch,,,COMPLETED,80,00:02:09,4.43M,00:00.396,4700Mc
415031.extern,extern,,,COMPLETED,80,00:02:09,0,00:00.001,4700Mc
415031.0,python3,,,COMPLETED,80,00:02:05,1585.97M,01:36.062,4700Mc
415032,Q06S110P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:46,,01:39.135,4700Mc
415032.batch,batch,,,COMPLETED,80,00:01:46,4.43M,00:00.331,4700Mc
415032.extern,extern,,,COMPLETED,80,00:01:46,0,00:00.001,4700Mc
415032.0,python3,,,COMPLETED,80,00:01:45,1262.73M,01:38.802,4700Mc
415033,Q06S115P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:57,,01:50.268,4700Mc
415033.batch,batch,,,COMPLETED,80,00:01:57,4.43M,00:00.343,4700Mc
415033.extern,extern,,,COMPLETED,80,00:01:57,0,00:00.001,4700Mc
415033.0,python3,,,COMPLETED,80,00:01:55,1333.20M,01:49.924,4700Mc
415034,Q06S120P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:55,,01:48.424,4700Mc
415034.batch,batch,,,COMPLETED,80,00:01:55,4.43M,00:00.336,4700Mc
415034.extern,extern,,,COMPLETED,80,00:01:55,0,00:00.001,4700Mc
415034.0,python3,,,COMPLETED,80,00:01:54,1381.57M,01:48.086,4700Mc
415035,Q06S125P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:59,,01:52.260,4700Mc
415035.batch,batch,,,COMPLETED,80,00:01:59,4.43M,00:00.344,4700Mc
415035.extern,extern,,,COMPLETED,80,00:01:59,0,00:00:00,4700Mc
415035.0,python3,,,COMPLETED,80,00:01:58,1439.33M,01:51.914,4700Mc
415036,Q06S130P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:30,,01:57.045,4700Mc
415036.batch,batch,,,COMPLETED,80,00:02:30,4.43M,00:00.386,4700Mc
415036.extern,extern,,,COMPLETED,80,00:02:30,0,00:00:00,4700Mc
415036.0,python3,,,COMPLETED,80,00:02:26,1482.46M,01:56.658,4700Mc
415037,Q06S135P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:08,,02:01.722,4700Mc
415037.batch,batch,,,COMPLETED,80,00:02:08,4.44M,00:00.340,4700Mc
415037.extern,extern,,,COMPLETED,80,00:02:08,0,00:00.001,4700Mc
415037.0,python3,,,COMPLETED,80,00:02:07,1948.11M,02:01.380,4700Mc
415038,Q06S140P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:14,,02:06.701,4700Mc
415038.batch,batch,,,COMPLETED,80,00:02:14,4.44M,00:00.324,4700Mc
415038.extern,extern,,,COMPLETED,80,00:02:14,0,00:00:00,4700Mc
415038.0,python3,,,COMPLETED,80,00:02:12,1774.42M,02:06.376,4700Mc
415039,Q06S145P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:17,,02:11.223,4700Mc
415039.batch,batch,,,COMPLETED,80,00:02:17,4.43M,00:00.344,4700Mc
415039.extern,extern,,,COMPLETED,80,00:02:17,0,00:00.001,4700Mc
415039.0,python3,,,COMPLETED,80,00:02:16,1697.99M,02:10.877,4700Mc
415040,Q06S150P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:48,,02:15.236,4700Mc
415040.batch,batch,,,COMPLETED,80,00:02:48,4.44M,00:00.384,4700Mc
415040.extern,extern,,,COMPLETED,80,00:02:48,0,00:00.001,4700Mc
415040.0,python3,,,COMPLETED,80,00:02:44,1879.05M,02:14.850,4700Mc
415041,Q06S155P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:25,,02:17.460,4700Mc
415041.batch,batch,,,COMPLETED,80,00:02:25,4.43M,00:00.316,4700Mc
415041.extern,extern,,,COMPLETED,80,00:02:25,0,00:00:00,4700Mc
415041.0,python3,,,COMPLETED,80,00:02:23,1698.41M,02:17.143,4700Mc
415042,Q06S160P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:31,,02:23.775,4700Mc
415042.batch,batch,,,COMPLETED,80,00:02:31,4.43M,00:00.321,4700Mc
415042.extern,extern,,,COMPLETED,80,00:02:31,0,00:00.001,4700Mc
415042.0,python3,,,COMPLETED,80,00:02:29,1791.97M,02:23.452,4700Mc
415043,Q06S165P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:33,,02:27.822,4700Mc
415043.batch,batch,,,COMPLETED,80,00:02:33,4.43M,00:00.338,4700Mc
415043.extern,extern,,,COMPLETED,80,00:02:33,0,00:00:00,4700Mc
415043.0,python3,,,COMPLETED,80,00:02:32,2293.66M,02:27.483,4700Mc
415044,Q06S170P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:37,,02:29.854,4700Mc
415044.batch,batch,,,COMPLETED,80,00:02:37,4.43M,00:00.332,4700Mc
415044.extern,extern,,,COMPLETED,80,00:02:37,0,00:00.001,4700Mc
415044.0,python3,,,COMPLETED,80,00:02:35,2589.09M,02:29.520,4700Mc
415045,Q06S175P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:05,,02:33.054,4700Mc
415045.batch,batch,,,COMPLETED,80,00:03:05,4.43M,00:00.386,4700Mc
415045.extern,extern,,,COMPLETED,80,00:03:05,0,00:00.001,4700Mc
415045.0,python3,,,COMPLETED,80,00:03:02,2515.63M,02:32.667,4700Mc
415046,Q06S180P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:49,,02:43.035,4700Mc
415046.batch,batch,,,COMPLETED,80,00:02:49,4.43M,00:00.329,4700Mc
415046.extern,extern,,,COMPLETED,80,00:02:49,0,00:00.001,4700Mc
415046.0,python3,,,COMPLETED,80,00:02:47,2167.61M,02:42.704,4700Mc
415047,Q06S185P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:02:53,,02:45.430,4700Mc
415047.batch,batch,,,COMPLETED,80,00:02:53,4.43M,00:00.335,4700Mc
415047.extern,extern,,,COMPLETED,80,00:02:53,0,00:00.001,4700Mc
415047.0,python3,,,COMPLETED,80,00:02:51,2077.25M,02:45.093,4700Mc
415048,Q06S190P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:00,,02:53.629,4700Mc
415048.batch,batch,,,COMPLETED,80,00:03:00,4.43M,00:00.331,4700Mc
415048.extern,extern,,,COMPLETED,80,00:03:00,0,00:00:00,4700Mc
415048.0,python3,,,COMPLETED,80,00:02:58,2105.24M,02:53.296,4700Mc
415049,Q06S195P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:33,,03:00.340,4700Mc
415049.batch,batch,,,COMPLETED,80,00:03:33,4.43M,00:00.378,4700Mc
415049.extern,extern,,,COMPLETED,80,00:03:33,0,00:00.001,4700Mc
415049.0,python3,,,COMPLETED,80,00:03:29,2145.16M,02:59.960,4700Mc
415050,Q06S200P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:10,,03:02.929,4700Mc
415050.batch,batch,,,COMPLETED,80,00:03:10,4.44M,00:00.339,4700Mc
415050.extern,extern,,,COMPLETED,80,00:03:10,0,00:00.001,4700Mc
415050.0,python3,,,COMPLETED,80,00:03:09,2851.49M,03:02.589,4700Mc
415051,Q06S205P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:08,,03:01.355,4700Mc
415051.batch,batch,,,COMPLETED,80,00:03:08,4.43M,00:00.339,4700Mc
415051.extern,extern,,,COMPLETED,80,00:03:08,0,00:00.001,4700Mc
415051.0,python3,,,COMPLETED,80,00:03:06,3031.46M,03:01.014,4700Mc
415052,Q06S210P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:11,,03:04.535,4700Mc
415052.batch,batch,,,COMPLETED,80,00:03:11,4.44M,00:00.341,4700Mc
415052.extern,extern,,,COMPLETED,80,00:03:11,0,00:00.001,4700Mc
415052.0,python3,,,COMPLETED,80,00:03:10,2981.30M,03:04.192,4700Mc
415053,Q06S215P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:15,,03:07.698,4700Mc
415053.batch,batch,,,COMPLETED,80,00:03:15,4.43M,00:00.343,4700Mc
415053.extern,extern,,,COMPLETED,80,00:03:15,0,00:00:00,4700Mc
415053.0,python3,,,COMPLETED,80,00:03:13,2895.09M,03:07.353,4700Mc
415054,Q06S220P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:46,,03:14.807,4700Mc
415054.batch,batch,,,COMPLETED,80,00:03:46,4.43M,00:00.396,4700Mc
415054.extern,extern,,,COMPLETED,80,00:03:46,0,00:00.001,4700Mc
415054.0,python3,,,COMPLETED,80,00:03:43,2944.32M,03:14.410,4700Mc
415055,Q06S225P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:28,,03:20.001,4700Mc
415055.batch,batch,,,COMPLETED,80,00:03:28,4.43M,00:00.365,4700Mc
415055.extern,extern,,,COMPLETED,80,00:03:28,0,00:00.001,4700Mc
415055.0,python3,,,COMPLETED,80,00:03:26,2418.41M,03:19.634,4700Mc
415056,Q06S230P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:34,,03:27.671,4700Mc
415056.batch,batch,,,COMPLETED,80,00:03:34,4.43M,00:00.341,4700Mc
415056.extern,extern,,,COMPLETED,80,00:03:34,0,00:00:00,4700Mc
415056.0,python3,,,COMPLETED,80,00:03:32,3080.53M,03:27.329,4700Mc
415057,Q06S235P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:42,,03:36.123,4700Mc
415057.batch,batch,,,COMPLETED,80,00:03:42,4.43M,00:00.340,4700Mc
415057.extern,extern,,,COMPLETED,80,00:03:42,0,00:00.001,4700Mc
415057.0,python3,,,COMPLETED,80,00:03:41,3334.51M,03:35.782,4700Mc
415058,Q06S240P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:04:05,,03:31.480,4700Mc
415058.batch,batch,,,COMPLETED,80,00:04:05,4.43M,00:00.377,4700Mc
415058.extern,extern,,,COMPLETED,80,00:04:05,0,00:00.001,4700Mc
415058.0,python3,,,COMPLETED,80,00:04:01,2588.46M,03:31.102,4700Mc
415059,Q06S245P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:41,,03:35.396,4700Mc
415059.batch,batch,,,COMPLETED,80,00:03:41,4.43M,00:00.344,4700Mc
415059.extern,extern,,,COMPLETED,80,00:03:42,0,00:00:00,4700Mc
415059.0,python3,,,COMPLETED,80,00:03:40,3462.76M,03:35.050,4700Mc
415060,Q06S250P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:03:50,,03:42.841,4700Mc
415060.batch,batch,,,COMPLETED,80,00:03:50,4.43M,00:00.334,4700Mc
