JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU
396532.batch,batch,,,COMPLETED,80,00:01:36,4.43M,00:00.342
396532.extern,extern,,,COMPLETED,80,00:01:37,0,00:00.001
396532.0,python3,,,COMPLETED,80,00:01:35,917.69M,01:30.187
396533,Q06S95P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:01:40,,01:33.685
396533.batch,batch,,,COMPLETED,80,00:01:40,4.43M,00:00.329
396533.extern,extern,,,COMPLETED,80,00:01:41,0,00:00.001
396533.0,python3,,,COMPLETED,80,00:01:39,728.35M,01:33.354
396535,Q06S100P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:01:52,,01:39.050
396535.batch,batch,,,COMPLETED,80,00:01:52,4.43M,00:00.336
396535.extern,extern,,,COMPLETED,80,00:01:52,0,00:00.001
396535.0,python3,,,COMPLETED,80,00:01:51,792.86M,01:38.712
396536,Q06S105P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:01:57,,01:43.985
396536.batch,batch,,,COMPLETED,80,00:01:57,4.43M,00:00.356
396536.extern,extern,,,COMPLETED,80,00:01:57,0,00:00.001
396536.0,python3,,,COMPLETED,80,00:01:55,825.16M,01:43.627
396537,Q06S110P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:00,,01:48.574
396537.batch,batch,,,COMPLETED,80,00:02:00,4.43M,00:00.335
396537.extern,extern,,,COMPLETED,80,00:02:01,0,00:00.001
396537.0,python3,,,COMPLETED,80,00:01:59,863.38M,01:48.237
396538,Q06S115P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:06,,01:53.775
396538.batch,batch,,,COMPLETED,80,00:02:06,4.43M,00:00.351
396538.extern,extern,,,COMPLETED,80,00:02:06,0,00:00:00
396538.0,python3,,,COMPLETED,80,00:02:05,1327.32M,01:53.423
396539,Q06S120P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:07,,02:00.067
396539.batch,batch,,,COMPLETED,80,00:02:07,4.43M,00:00.340
396539.extern,extern,,,COMPLETED,80,00:02:07,0,00:00.001
396539.0,python3,,,COMPLETED,80,00:02:06,1241.39M,01:59.725
396540,Q06S125P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:11,,02:03.795
396540.batch,batch,,,COMPLETED,80,00:02:11,4.43M,00:00.333
396540.extern,extern,,,COMPLETED,80,00:02:11,0,00:00.001
396540.0,python3,,,COMPLETED,80,00:02:09,957.83M,02:03.460
396541,Q06S130P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:23,,02:09.191
396541.batch,batch,,,COMPLETED,80,00:02:23,4.43M,00:00.341
396541.extern,extern,,,COMPLETED,80,00:02:23,0,00:00:00
396541.0,python3,,,COMPLETED,80,00:02:21,988.18M,02:08.849
396542,Q06S135P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:25,,02:14.364
396542.batch,batch,,,COMPLETED,80,00:02:25,4.43M,00:00.428
396542.extern,extern,,,COMPLETED,80,00:02:25,0,00:00.001
396542.0,python3,,,COMPLETED,80,00:02:21,1021.18M,02:13.934
396543,Q06S140P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:25,,02:18.393
396543.batch,batch,,,COMPLETED,80,00:02:25,4.44M,00:00.346
396543.extern,extern,,,COMPLETED,80,00:02:25,0,00:00.001
396543.0,python3,,,COMPLETED,80,00:02:23,1049.70M,02:18.045
396544,Q06S145P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:35,,02:25.462
396544.batch,batch,,,COMPLETED,80,00:02:35,4.43M,00:00.359
396544.extern,extern,,,COMPLETED,80,00:02:35,0,00:00.001
396544.0,python3,,,COMPLETED,80,00:02:33,1060.91M,02:25.102
396545,Q06S150P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:35,,02:28.535
396545.batch,batch,,,COMPLETED,80,00:02:35,4.43M,00:00.321
396545.extern,extern,,,COMPLETED,80,00:02:35,0,00:00:00
396545.0,python3,,,COMPLETED,80,00:02:33,3485.69M,02:28.212
396546,Q06S155P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:40,,02:33.446
396546.batch,batch,,,COMPLETED,80,00:02:40,4.43M,00:00.332
396546.extern,extern,,,COMPLETED,80,00:02:40,0,00:00.001
396546.0,python3,,,COMPLETED,80,00:02:38,1287.70M,02:33.112
396547,Q06S160P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:51,,02:39.729
396547.batch,batch,,,COMPLETED,80,00:02:51,4.43M,00:00.381
396547.extern,extern,,,COMPLETED,80,00:02:51,0,00:00:00
396547.0,python3,,,COMPLETED,80,00:02:47,1197.59M,02:39.347
396548,Q06S165P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:52,,02:43.567
396548.batch,batch,,,COMPLETED,80,00:02:52,4.43M,00:00.402
396548.extern,extern,,,COMPLETED,80,00:02:52,0,00:00.001
396548.0,python3,,,COMPLETED,80,00:02:49,1227.88M,02:43.164
396549,Q06S170P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:51,,02:44.371
396549.batch,batch,,,COMPLETED,80,00:02:51,4.43M,00:00.330
396549.extern,extern,,,COMPLETED,80,00:02:51,0,00:00.001
396549.0,python3,,,COMPLETED,80,00:02:49,1258.20M,02:44.040
396550,Q06S175P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:02:57,,02:50.337
396550.batch,batch,,,COMPLETED,80,00:02:57,4.43M,00:00.332
396550.extern,extern,,,COMPLETED,80,00:02:57,0,00:00.001
396550.0,python3,,,COMPLETED,80,00:02:56,1273.98M,02:50.003
396551,Q06S180P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:04,,02:58.214
396551.batch,batch,,,COMPLETED,80,00:03:04,4.43M,00:00.355
396551.extern,extern,,,COMPLETED,80,00:03:04,0,00:00:00
396551.0,python3,,,COMPLETED,80,00:03:02,2948.86M,02:57.857
396552,Q06S185P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:10,,03:02.581
396552.batch,batch,,,COMPLETED,80,00:03:10,4.43M,00:00.345
396552.extern,extern,,,COMPLETED,80,00:03:10,0,00:00.001
396552.0,python3,,,COMPLETED,80,00:03:08,1836.05M,03:02.234
396553,Q06S190P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:14,,03:06.674
396553.batch,batch,,,COMPLETED,80,00:03:14,4.43M,00:00.332
396553.extern,extern,,,COMPLETED,80,00:03:14,0,00:00.001
396553.0,python3,,,COMPLETED,80,00:03:12,1387.95M,03:06.341
396554,Q06S195P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:20,,03:13.207
396554.batch,batch,,,COMPLETED,80,00:03:20,4.43M,00:00.331
396554.extern,extern,,,COMPLETED,80,00:03:20,0,00:00.001
396554.0,python3,,,COMPLETED,80,00:03:17,1374.69M,03:12.875
396555,Q06S200P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:22,,03:16.078
396555.batch,batch,,,COMPLETED,80,00:03:22,4.47M,00:00.341
396555.extern,extern,,,COMPLETED,80,00:03:22,0,00:00:00
396555.0,python3,,,COMPLETED,80,00:03:21,1420.65M,03:15.735
396556,Q06S205P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:43,,03:37.053
396556.batch,batch,,,COMPLETED,80,00:03:43,4.43M,00:00.353
396556.extern,extern,,,COMPLETED,80,00:03:43,0,00:00.001
396556.0,python3,,,COMPLETED,80,00:03:41,1525.65M,03:36.699
396557,Q06S210P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:29,,03:23.100
396557.batch,batch,,,COMPLETED,80,00:03:29,4.43M,00:00.333
396557.extern,extern,,,COMPLETED,80,00:03:29,0,00:00.001
396557.0,python3,,,COMPLETED,80,00:03:27,1507.50M,03:22.765
396558,Q06S215P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:35,,03:28.924
396558.batch,batch,,,COMPLETED,80,00:03:35,4.43M,00:00.330
396558.extern,extern,,,COMPLETED,80,00:03:35,0,00:00.001
396558.0,python3,,,COMPLETED,80,00:03:33,4222.11M,03:28.593
396559,Q06S220P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:42,,03:34.406
396559.batch,batch,,,COMPLETED,80,00:03:42,4.43M,00:00.345
